sku_id,wape_full,wape_baseline,actual_units,forecast_units,improvement
SKU-1002,0.08222331577887138,0.07609716650192853,315.0,309.4,-0.006126149276942841
SKU-1003,0.1173571727989398,0.1311072069988988,664.0,611.7,0.013750034199959002
SKU-1004,0.14725927136420952,0.18900805593231992,351.0,361.8,0.0417487845681104
SKU-1005,0.15200993695232085,0.1439482701646926,546.0,517.9,-0.008061666787628236
SKU-1006,0.18794626656043692,0.171570591771583,454.0,410.3,-0.016375674788853933
SKU-1007,0.11794687443051924,0.114572679589554,321.0,304.8,-0.003374194840965239
SKU-1008,0.1239040467408026,0.10845249220825258,434.0,406.4,-0.015451554532550024
SKU-1009,0.21685631318622173,0.21867911812594085,438.0,404.6,0.0018228049397191193
SKU-1010,0.1491698282458283,0.14678878440078455,625.0,576.7,-0.0023810438450437565
SKU-1011,0.1468423643687497,0.12945469352791258,379.0,363.1,-0.017387670840837116
SKU-1012,0.1391640536867895,0.1378057020644394,887.0,795.5,-0.0013583516223500958
SKU-1013,0.12205733428057024,0.13715975317936996,548.0,503.0,0.015102418898799722
SKU-1014,0.1515064231623755,0.14111259617807234,350.0,345.8,-0.010393826984303162
SKU-1015,0.126973735427987,0.12718326145548797,541.0,506.2,0.0002095260275009614
SKU-1016,0.18701256974647143,0.17259929429437,440.0,428.0,-0.014413275452101443
SKU-1017,0.183510094601962,0.21821050194042177,332.0,380.5,0.03470040733845978
SKU-1019,0.12164737938698468,0.13239563704768068,473.0,513.1,0.010748257660695995
SKU-1020,0.16417061492096433,0.17866350720997817,477.0,504.6,0.014492892289013848
SKU-1021,0.15852220733546168,0.15536910300315607,359.0,402.3,-0.0031531043323056174
SKU-1022,0.1981121879736267,0.20966954723735393,424.0,452.6,0.011557359263727224
SKU-1023,0.20040508086836745,0.17968682649043938,286.0,329.2,-0.02071825437792807
SKU-1024,0.10893270740102833,0.10512614053422413,534.0,565.9,-0.003806566866804195
SKU-1025,0.15746495847108585,0.19078948611301566,340.0,361.9,0.03332452764192981
SKU-1026,0.21383546679776277,0.2072193400135283,347.0,388.1,-0.006616126784234483
SKU-1027,0.13892807737002882,0.14467242162844024,234.0,259.8,0.005744344258411416
SKU-1028,0.3393696737446739,0.2726933281099949,222.0,288.7,-0.066676345634679
SKU-1029,0.2511331764912103,0.2901456197938236,334.0,338.5,0.039012443302613276
SKU-1030,0.20527422670263368,0.22162006129144712,362.0,360.6,0.016345834588813446
SKU-1031,0.19475503773122807,0.17676463365714062,238.0,267.6,-0.017990404074087446
SKU-1032,0.20609840582451291,0.215550372046584,286.0,327.5,0.00945196622207109
SKU-1033,0.15052354941864485,0.17071720298989826,593.0,524.3,0.02019365357125341
SKU-1034,0.14085061243360072,0.17512034108824992,483.0,473.0,0.034269728654649195
SKU-1037,0.15447330192832842,0.1612163803764332,315.0,355.2,0.006743078448104789
SKU-1038,0.16409280760580444,0.16466751633800558,436.0,470.9,0.0005747087322011402
SKU-1039,0.16792392961600283,0.15480641394513361,164.0,188.3,-0.013117515670869218
SKU-1040,0.2785163301085148,0.30334269477404197,386.0,434.8,0.02482636466552718
SKU-1042,0.23142035876631287,0.2399490991630932,449.0,480.7,0.008528740396780338
SKU-2017,0.14423554619152104,0.25443776439609767,530.0,546.6,0.11020221820457662
SKU-2099,0.14721641302249264,0.1432208531820691,795.0,724.1,-0.003995559840423546
SKU-3008,0.21259635686070355,0.1899325721761619,273.0,323.6,-0.022663784684541638
